SIDO_NM,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
남양주시,베이커리 씨어터 수목원,1
하남시,흥도식당,11
서울특별시,도산맘마,11
성남시,메인스트리트 세곡점,11
서울특별시,흑석시장,4
서울특별시,힐튼가든인 서울강남점,5
파주시,파주디엠지곤돌라,2
서울특별시,콤콤오락실,4
서울특별시,타셴,11
수원시,장안통닭,11
서울특별시,프롬헤라스 잠실,11
철원군,고석정,13
서울특별시,다만프레르 SFC점,11
서울특별시,하남돼지집 대학로점,11
NaN,먹보한우,11
양산,양산주유소,10
NaN,빈솔트,11
NaN,남한산성둘레길 2코스,7
NaN,자라섬,1
수원시,수원화성 화홍문 안내소,2
서울특별시,마이시크릿덴,12
의정부시,e편한세상신곡포레스타뷰아파트,24
서울특별시,종로빈대떡 광화문점,11
NaN,서울어린이대공원 동물원,6
NaN,대부도 로그인 펜션,24
용인시,초이댄스 스튜디오,12
인천광역시,제니스호텔,24
서울특별시,가락동농수산물도매시장 수산시장,4
용인시,남사화훼집하장,4
서울특별시,돈주는남자 본점,11
NaN,당거쉼터,7
천안시,성환역,9
서울특별시,모스버거 센트럴시티점,11
광주광역시,송정중앙교회,2
서울특별시,숭례문,2
의정부시,남촌순두부 금오점,11
인천광역시,카페빵선생 소래포구점,11
안양시,광명새빛공원,1
NaN,용문산 백운봉 등산로,7
NaN,서울랜드,13
양평군,구둔역 (폐역),9
수원시,코트야드 바이 메리어트 수원,24
포천시,복골캠프,7
수원시,수안주유소,10
NaN,e편한세상부평역센트럴파크아파트,12
NaN,두물머리 공영주차장,9
NaN,이태원역교차로,8
NaN,서울 광진구 아차산로 221 2f,4
인천광역시,꼬알라파이,11
NaN,신림역 앞 편의점,12
가평군,자라섬캠핑장,24
구미시,낙동강구미휴게소 상주방향,9
서울특별시,대방역 1호선,9
NaN,석촌호수 동호,1
서울특별시,등촌샤브칼국수 안국역점,11
용인시,SR디자인호텔,24
서울특별시,롯데백화점 영등포점 주차장,9
서울특별시,엔터식스 왕십리역점,4
NaN,우장산공원산책길,7
포천시,산정호수 빵명장,11
양평군,리버레전드키즈,24
시흥시,호반베르디움더프라임아파트,22
용인시,강남대학교,11
NaN,화담숲 곤충생태관,1
고양시,오릴리도넛,11
동두천시,니지모리스튜디오,13
김포시,현대프리미엄아울렛 김포점,4
서울특별시,소테츠프레사 인서울명동,24
남양주시,끌리마,11
양평군,돌체파르니엔펜션,24
NaN,밉,11
구미시,선산휴게소 양평방향,9
수원시,방화수류정,2
안산시,한방전주콩나물국밥,11
서울특별시,센트럴시티터미널(호남),9
서울특별시,아리아호텔,24
서울특별시,동대문디자인플라자,9
서울특별시,대화빌딩,8
여주시,신세계프리미엄아울렛 여주,4
NaN,여주그린수상레저,5
아산시,천안아산역,9
NaN,이태원거리,4
서울특별시,창덕궁,2
수원시,광교산제빵소,11
서울특별시,펀시티,6
진천군,진천종합터미널,9
서울특별시,번패티번,11
서울특별시,할리스 충정래미안점,9
여주시,다피타 여주점,11
NaN,임진각 평화누리 야외공연장,3
포천시,망향비빔국수 포천직영점,11
인천광역시,옹진농협하나로마트 영흥점,10
NaN,마루산 독채펜션,24
안산시,엔틸로프,12
NaN,평화의광장,3
부천시,열정냉삼 신중동점,11
양평군,카페 만경,11
서울특별시,부기우기,11
서울특별시,커피나인,11
남양주시,오팔당,11
성남시,수의원 분당점,12
NaN,옛날순두부집,11
NaN,마곡엠벨리15단지,21
이천시,이이식당,11
NaN,오산천,7
인천광역시,송도한옥마을,7
서울특별시,토속촌삼계탕,11
NaN,오시리마트,10
서울특별시,현대카드 쿠킹라이브러리,3
하남시,미사경정공원,1
용인시,삼동소바,11
파주시,헤이리농원,13
서울특별시,뚜레쥬르 제일제당센터점,11
서울특별시,이촌역 경의중앙선,9
서울특별시,프레퍼스다이어트푸드 교대점,11
포천시,우둠지제빵소,11
수원시,성지아파트,22
파주시,또오리,11
서울특별시,동성빌라,22
서울특별시,웨스틴조선 서울지점,24
화성시,선창수산,4
서울특별시,서울뷰티위크,8
서울특별시,고덕그라시움아파트,21
동두천시,경기북부어린이박물관,2
안성시,스카이호프,4
수원시,꾸안,11
광주시,원조최미자소머리국밥 본관,11
수원시,이나경송탄부대찌개,11
서울특별시,쟝블랑제리,11
인천광역시,쉐라톤그랜드 인천호텔,24
정읍시,버거킹 정읍중앙점,11
서울특별시,경기대학교 서울캠퍼스,7
서울특별시,인터컨티넨탈서울코엑스 브래서리,11
용인시,경기도어린이박물관,2
서울특별시,한양도성박물관,2
NaN,트윈프라자,22
연천군,보물나라캠프,24
NaN,딥,11
화성시,물레,11
서울특별시,버터베이커리,11
군위군,군위휴게소,9
남양주시,에이원호텔,24
서울특별시,덕수궁,2
